# Widelands 简体中文术语表——由 build_glossary.py 生成，请勿手工编辑。
# 要改译名请改 i18n-zh/corrections.tsv 后重新生成。
# check_po.py --glossary 会据此校验全部 32 个域的一致性。
#
# 英文	中文	msgctxt	出处	备注
Guardhall	守卫大厅	atlanteans_building	tribes	
Guardhouse	岗楼	atlanteans_building	tribes	
Guaribe	瓜里贝号	shipname	tribes	
Guáitara	危地马拉号	shipname	tribes	
Habel	哈贝尔	shipname	tribes	
Hagbard	哈格巴德	shipname	tribes	
Hakhor	哈霍尔号	shipname	tribes	
Hamburger Hallig	汉堡角	shipname	tribes	
Hammer	锤子	ware	tribes	
Hard Ground 1	硬地 1		world	
Hard Ground 2	硬地 2		world	
Hard Ground 3	硬地 3		world	
Hard Ground 4	硬地 4		world	
Hardened Spear	淬火长矛	ware	tribes	
hardening wood	硬化木料		tribes	
harvesting balsa	采收轻木		tribes	
harvesting barley	采收大麦		tribes	
harvesting blackroot	采收黑根		tribes	
harvesting cassava	收获木薯		tribes	
harvesting cocoa	采收可可		tribes	
harvesting corn	采收玉米		tribes	
harvesting grapes	采收葡萄		tribes	
harvesting ironwood	采收铁木		tribes	
harvesting reed	采收芦苇		tribes	
harvesting rubber	采收橡胶		tribes	
harvesting wheat	采收小麦		tribes	
Headquarters	总部		corrections	五个部族一致
Headquarters	总部	amazons_building	corrections	五个部族一致
Headquarters	总部	atlanteans_building	corrections	五个部族一致
Headquarters	总部	barbarians_building	corrections	五个部族一致
Headquarters	总部	empire_building	corrections	五个部族一致
Headquarters	总部	frisians_building	corrections	五个部族一致
Headquarters Shipwreck	失事船舶临时总部	empire_building	tribes	
Heavy Double Trident	重型双三叉戟	ware	tribes	
Heavy Spear	铁脊长矛	ware	tribes	
Heidrek	海德雷克	shipname	tribes	
Heimdallr	海姆达尔	shipname	tribes	
Helgoland	黑尔戈兰岛	shipname	tribes	
Helm Smithy	铠甲铺	barbarians_building	tribes	
Helmet	头盔	empire_ware	tribes	
Helmet	头盔	ware	tribes	
Helmsmith	铠甲匠	barbarians_worker	tribes	
Herbivores	食草动物		world	
Hero Boots	英雄靴	ware	tribes	
Hever	希佛堡	shipname	tribes	
High Mountain Meadow	高山草场		world	
High Tower	高塔	atlanteans_building	tribes	
High Wooden Tower	高木塔	frisians_building	tribes	
Hnoss	赫诺丝	shipname	tribes	
Honey	蜂蜜	ware	tribes	
Honey Bread	蜂蜜面包	frisians_ware	tribes	
Honey Bread Bakery	蜂蜜面包烘房	frisians_building	tribes	
Hooge	霍克岛	shipname	tribes	
Hook Pole	钩杆	ware	tribes	
Horse	马	atlanteans_worker	tribes	
Horse Breeder	牧马人	atlanteans_worker	tribes	
Horse Farm	牧马场	atlanteans_building	tribes	
HQ Hunter	总部猎手		win_conditions	
Hrothgar	赫罗斯加	shipname	tribes	
Hunter	猎人	atlanteans_worker	tribes	
Hunter	猎人	barbarians_worker	tribes	
Hunter	猎人	empire_worker	tribes	
Hunter	猎人	frisians_worker	tribes	
Hunter-Gatherer	狩猎者	amazons_worker	tribes	
Hunter-Gatherer’s Hut	狩猎者小屋	amazons_building	tribes	
Hunter’s House	猎人之屋	atlanteans_building	tribes	
Hunter’s House	猎人之屋	empire_building	tribes	
Hunter’s House	猎人之屋	frisians_building	tribes	
Hunter’s Hut	猎人小屋	barbarians_building	tribes	
hunting	狩猎		tribes	
Hunting Bow	狩猎弓	ware	tribes	
Hunting Spear	狩猎长矛	ware	tribes	
Iaco	亚科号	shipname	tribes	
Ianus	雅努斯	shipname	tribes	
Ice	冰		world	
Ice Floes 1	浮冰 1		world	
Ice Floes 2	浮冰 2		world	
Igapó-Açu	伊加波阿苏号	shipname	tribes	
Igneous Rocks	火成岩		world	
Illapa	伊利亚帕号	shipname	tribes	
Inagua	伊纳瓜 	shipname	tribes	
Inauini	伊瑙伊尼号	shipname	tribes	
Ingeld	英叶德	shipname	tribes	
Initiation Site	成年礼场	amazons_building	tribes	
Inn	客栈	barbarians_building	tribes	
Inn	客栈	empire_building	tribes	
Innkeeper	客栈掌柜	barbarians_worker	tribes	
Innkeeper	客栈掌柜	empire_worker	tribes	
Inti	因蒂号	shipname	tribes	
Introduction	介绍		tribes	
Ipixuna	伊皮舒纳号	shipname	tribes	
Iron	铁		world	
Iron	铁	ware	tribes	
Iron Mine	铁矿	atlanteans_building	tribes	
Iron Mine	铁矿	barbarians_building	tribes	
Iron Mine	铁矿	empire_building	tribes	
Iron Mine	铁矿	frisians_building	tribes	
Iron Ore	铁矿石	ware	tribes	
Ironwood	铁木	ware	tribes	
Ironwood Tree	铁木树		tribes	
Ironwood Tree (Mature)	铁木树(成材的)		tribes	
Ironwood Tree (Old)	铁木树(老的)		tribes	
Ironwood Tree (Pole)	铁木树(树干)		tribes	
Ironwood Tree (Sapling)	铁木树(树苗)		tribes	
Iscuandé	伊斯库昂代号	shipname	tribes	
Itanhauá	伊塔尼奥阿号	shipname	tribes	
Itaparaná	伊塔帕拉纳号	shipname	tribes	
Itaquai	伊塔夸伊号	shipname	tribes	
Itucumã	伊图库曼号	shipname	tribes	
Ituxi	伊图希号	shipname	tribes	
Ituí	伊图伊号	shipname	tribes	
Iulius Cæsar	尤利乌斯·恺撒号	shipname	tribes	
Iuno	卢诺	shipname	tribes	
Iupiter	卢皮特	shipname	tribes	
Iá	亚号	shipname	tribes	
Içana	伊萨纳号	shipname	tribes	
Içá	伊萨号	shipname	tribes	
Jacaré	雅卡雷号	shipname	tribes	
Jamicia	雅米西亚号	shipname	tribes	
Jandiatuba	雅恩迪亚图巴号	shipname	tribes	
Japsand	杰彭士德	shipname	tribes	
Japurá	雅普拉号	shipname	tribes	
Jaquirana	雅基拉纳号	shipname	tribes	
Jari	雅里号	shipname	tribes	
Jatapu	雅塔普号	shipname	tribes	
Jatuarana	雅图阿拉纳号	shipname	tribes	
Jauaperi	雅瓦佩里号	shipname	tribes	
Javary	雅瓦里号	shipname	tribes	
Jaú	雅乌号	shipname	tribes	
Juami	胡阿米号	shipname	tribes	
Jufari	胡法里号	shipname	tribes	
Juma	胡马号	shipname	tribes	
Jundlina	朱鼎利纳	shipname	tribes	
Jungle Master	丛林之主	amazons_worker	tribes	
Jungle Preserver	丛林守护者	amazons_worker	tribes	
Jungle Preserver’s Hut	丛林守护者小屋	amazons_building	tribes	
Juniper (medium)	杜松(半熟的)		tribes	
Juniper (ripe)	杜松(成熟的)		tribes	
Juniper (small)	杜松(小的)		tribes	
Juniper (tiny)	杜松(微小的)		tribes	
Juruena	胡鲁埃纳号	shipname	tribes	
Jurupari	胡鲁帕里号	shipname	tribes	
Juruá	胡鲁阿号	shipname	tribes	
Jutai	胡泰号	shipname	tribes	
Jutaizinho	胡泰津霍号	shipname	tribes	
Juventud	尤文图德	shipname	tribes	
Karl Hundason	卡尔亨德森	shipname	tribes	
Khantrukh	坎特鲁克	shipname	tribes	
King Ajanthul	阿甘图尔国王	shipname	tribes	
King Askandor	阿斯坎多尔国王	shipname	tribes	
Kitchen Tools	厨房用具	ware	tribes	
Kitts	基茨	shipname	tribes	
Koricancha	科里坎查号	shipname	tribes	
Kormoransand	鸬鹚沙滩	shipname	tribes	
Kuychi	库伊奇号	shipname	tribes	
Labyrinth	迷宫	atlanteans_building	tribes	
Lake Titicaca	的的喀喀湖号	shipname	tribes	
Landlady	女房东	frisians_worker	tribes	
Langeneß	兰根ß	shipname	tribes	
Larch	落叶松		world	
Larch (Mature)	落叶松(成材的)		world	
Larch (Old)	落叶松(老树)		world	
Larch (Pole)	落叶松(树干)		world	
Larch (Sapling)	落叶松(树苗)		world	
Large Armor Smithy	重装盔甲铺	frisians_building	tribes	
Latium	拉齐奥	shipname	tribes	
Latonia	拉托尼亚	shipname	tribes	
Lava	熔岩		world	
Lava Rocks 1	火山熔岩 1		world	
Lava Rocks 2	火山熔岩 2		world	
Leo	雄狮号	shipname	tribes	
Lepus	野兔号	shipname	tribes	
Liana	藤蔓植物	ware	tribes	
Liana Cutter	藤蔓采集者	amazons_worker	tribes	
Liana Cutter’s Hut	藤蔓采集小屋	amazons_building	tribes	
Liana Tree	香毛青藤树		world	
Liana Tree (Mature)	香毛青藤树(成材的)		world	
Liana Tree (Old)	香毛青藤树(老树)		world	
Liana Tree (Pole)	香毛青藤树(树干)		world	
Liana Tree (Sapling)	香毛青藤树(树苗)		world	
Light Trident	轻型三叉戟	ware	tribes	
Light Wooden Armor	轻装木甲	ware	tribes	
Liguria	利古里亚	shipname	tribes	
Lime Kiln	石灰窑	barbarians_building	tribes	
Lime-Burner	石灰烧窑匠	barbarians_worker	tribes	
Lloqe Yupanki	略克尤潘基号	shipname	tribes	
Loftomor	罗夫托莫	shipname	tribes	
Log	原木	ware	tribes	
Long Sword	长剑	ware	tribes	
Long Trident	长三叉戟	ware	tribes	
Lumberjack	伐木工	barbarians_worker	tribes	
Lumberjack	伐木工	empire_worker	tribes	
Lumberjack’s House	伐木工之屋	empire_building	tribes	
Lumberjack’s Hut	伐木小屋	barbarians_building	tribes	
Luna	卢纳号	shipname	tribes	
Lutius	卢图斯	shipname	tribes	
Lynx	猞猁		world	
Lynx	猞猁	shipname	tribes	
Machete	弯刀	ware	tribes	
Maici	迈西号	shipname	tribes	
Main Coal Vein Exhausted	煤矿的主矿脉已耗尽		tribes	
Main Crystal Vein Exhausted	晶体矿的主矿脉已耗尽		tribes	
Main Gold Vein Exhausted	黄金矿的主矿脉已耗尽		tribes	
Main Granite Vein Exhausted	花岗石矿的主矿脉已耗尽		tribes	
Main Iron Vein Exhausted	铁矿的主矿脉已耗尽		tribes	
Main Marble Vein Exhausted	大理石矿的主矿脉已耗尽		tribes	
Main Stone Vein Exhausted	主石脉已枯竭		tribes	
Maiá	迈亚号	shipname	tribes	
making a basket	制作篮子		tribes	
making a bread paddle	制造面包桨		tribes	
making a charcoal stack	码炭成堆		tribes	
making a chisel	打造凿刀		tribes	
making a felling ax	打造伐木斧		tribes	
making a fishing net	制作渔网		tribes	
making a fishing rod	制作鱼竿		tribes	
making a hammer	打造锤子		tribes	
making a hardened spear	打造淬火长矛		tribes	
making a hook pole	制作钩杆		tribes	
making a hunting bow	制造狩猎弓		tribes	
making a hunting spear	制作狩猎长矛		tribes	
making a light wooden armor	制造一套轻装木甲		tribes	
making a machete	打造弯刀		tribes	
making a padded protector	制造一个衬垫保护		tribes	
making a padded vest	制造一件衬垫背心		tribes	
making a pair of buckets	制造一担水桶		tribes	
making a pick	打造鹤嘴镐		tribes	
making a rope	编织绳索		tribes	
making a saw	制造锯子		tribes	
making a scythe	制造镰刀		tribes	
making a shovel	打造铁铲		tribes	
making a stone bowl	制作石碗		tribes	
making a stone-tipped spear	制作尖石矛		tribes	
making a wooden helmet	制造一顶木制头盔		tribes	
making a wooden spear	制作木矛		tribes	
making clay	生产黏土		tribes	
making fire tongs	制造火钳		tribes	
making firestones	制作火石		tribes	
making hero boots	制造英雄靴		tribes	
making kitchen tools	打造厨房用具		tribes	
making milking tongs	制造挤奶钳		tribes	
making needles	制针		tribes	
making sturdy boots	制造坚固的靴子		tribes	
making swift boots	制造健步鞋		tribes	
making wine	制作葡萄酒		tribes	
Malachite	孔雀石	shipname	tribes	
Mama Killa	玛玛基利亚号	shipname	tribes	
Mama Occlo	玛玛奥克略号	shipname	tribes	
Mamiá	马米亚号	shipname	tribes	
Mamoriá	马莫里亚号	shipname	tribes	
Mamuru	马穆鲁号	shipname	tribes	
Manacapuru	马纳卡普鲁号	shipname	tribes	
Manco Cápac	曼科卡帕克号	shipname	tribes	
Mani	曼尼	shipname	tribes	
Manicorezinho	马尼科雷津霍号	shipname	tribes	
Manicoré	马尼科雷号	shipname	tribes	
Manqo Qhapaq	曼科卡帕克号	shipname	tribes	
Map Set	地图集		corrections	附加内容类别，Set 在此非"设置"
Mapari	马帕里号	shipname	tribes	
Mapiá	马皮亚号	shipname	tribes	
Maple	枫树		world	
Maple (Mature)	枫树(成材的)		world	
Maple (Old)	枫树(老树)		world	
Maple (Pole)	枫树(树干)		world	
Maple (Sapling)	枫树(树苗)		world	
Maracanã	马拉卡南号	shipname	tribes	
Marari	马拉里号	shipname	tribes	
Marauiá	马拉维亚号	shipname	tribes	
Marble	大理石	shipname	tribes	
Marble	大理石	ware	tribes	
Marble Column	大理石柱	ware	tribes	
Marble Mine	大理石矿	empire_building	tribes	
Marcus Aurelius	马可·奥勒留号	shipname	tribes	
Mariepauá	马里埃帕瓦号	shipname	tribes	
Marimari	马里马里号	shipname	tribes	
Marié	马里埃号	shipname	tribes	
Market	市场	amazons_building	tribes	
Market	市场	atlanteans_building	tribes	
Market	市场	barbarians_building	tribes	
Market	市场	empire_building	tribes	
Market	市场	frisians_building	tribes	
Mars	战神	shipname	tribes	
Marten	貂鼠		world	
Martinique	马提尼克岛	shipname	tribes	
Mask	面具	ware	tribes	
Master Baker	面包大师	frisians_worker	tribes	
Master Blacksmith	铸造大师	barbarians_worker	tribes	
Master Blacksmith	铸造大师	frisians_worker	tribes	
Master Brewer	酿造大师	barbarians_worker	tribes	
Master Brewer	酿造大师	frisians_worker	tribes	
Master Miner	采矿大师	barbarians_worker	tribes	
Master Miner	采矿大师	empire_worker	tribes	
Master Miner	采矿大师	frisians_worker	tribes	
Master Seamstress	女缝纫大师	frisians_worker	tribes	
Master Woodcutter	伐木大师	amazons_worker	tribes	
Mataurá	马陶拉号	shipname	tribes	
Matupiri	马图皮里号	shipname	tribes	
Maués Açu	毛埃斯阿苏号	shipname	tribes	
Mayta Qhapaq	迈塔卡帕克号	shipname	tribes	
Mead	蜂蜜酒	ware	tribes	
Mead Brewery	蜂蜜酿酒厂	frisians_building	tribes	
Meadow	草场		world	
Meadow 1	草甸 1		world	
Meadow 2	草甸 2		world	
Meadow 3	草甸 3		world	
Meadow 4	草甸 4		world	
Meal	膳食	ware	tribes	
Meat	肉	ware	tribes	
Message	消息		corrections	
Metal Workshop	五金车间	barbarians_building	tribes	
Metaserver	元服务器		corrections	原"元数据服务器"是误译，它不提供元数据
Metaserver Lobby	元服务器大厅		corrections	
Micro Brewery	小型酿酒厂	barbarians_building	tribes	
Milking Tongs	挤奶钳	ware	tribes	
Mill	磨坊	atlanteans_building	tribes	
Mill	磨坊	empire_building	tribes	
Miller	碾磨工	atlanteans_worker	tribes	
Miller	碾磨工	empire_worker	tribes	
Miner	矿工	atlanteans_worker	tribes	
Miner	矿工	barbarians_worker	tribes	
Miner	矿工	empire_worker	tribes	
Miner	矿工	frisians_worker	tribes	
Mineruázinho	米内鲁阿津霍号	shipname	tribes	
Minerva	密涅瓦	shipname	tribes	
mining	采矿		tribes	
mining coal	开采煤矿		tribes	
mining diamonds	开采钻石		tribes	
mining gold	开采黄金		tribes	
mining granite	开采花岗石		tribes	
mining iron	开采铁		tribes	
mining marble	开采大理石		tribes	
mining quartz	开采石英		tribes	
Miscellaneous	杂项		corrections	编辑器类别名，原"五花八门的"是形容词且口语化
Mixed Scrap Metal	废旧合金	ware	tribes	
mixing grout	搅拌泥浆		tribes	
Montserrat	蒙特塞拉特岛	shipname	tribes	
Moonstone	月光石	shipname	tribes	
Moose	麋鹿		world	
Mountain 1	山峦 1		world	
Mountain 2	山峦 2		world	
Mountain 3	山峦 3		world	
Mountain 4	山峦 4		world	
Mountain Meadow	山地草原		world	
Muaco	穆阿科号	shipname	tribes	
Mucum	穆库姆号	shipname	tribes	
Mushroom	蘑菇		world	
Mutum	穆图姆号	shipname	tribes	
Mystic Quartz	神秘石英	shipname	tribes	
Name	名称		corrections	通用名称字段，不可译作"姓名"
Name	玩家名称	player	corrections	玩家标识，非真实姓名
Name	船名	ship	corrections	船只统计表的名称列
Nassau	巴哈马群岛	shipname	tribes	
Needles	针	ware	tribes	
Neptune	海神尼普顿	shipname	tribes	
Nero	尼禄	shipname	tribes	
Nerva	涅尔瓦	shipname	tribes	
Nevis	尼维斯岛	shipname	tribes	
New World	新世界		corrections	开局条件名，原"新的世界"啰嗦
Nhamundá	尼亚蒙达号	shipname	tribes	
No Artifacts	没有远古遗物		win_conditions	
No Bushes	没有灌木		tribes	
No Coal	没有煤		tribes	
No Crystals	没有晶体		tribes	
No Fields	没有场地		tribes	
No Fish	没有鱼		tribes	
No Flowers	没有花朵		tribes	
No Game, No Fish	没有猎物，没有鱼		tribes	
No Gold	没有黄金		tribes	
No Granite	没有花岗石		tribes	
No Ground	没有土地		tribes	
No Iron	没有铁		tribes	
No Level Ground	没有地坪		tribes	
No Marble	没有大理石		tribes	
No Ponds	没有池塘		tribes	
No Resources	没有资源	resource_indicator	tribes	
No Rocks	没有岩石		tribes	
No Stones	没有石料		tribes	
No Tree to Cut Lianas	没有树可供砍伐藤蔓植物		tribes	
No Trees	没有树		tribes	
No Water	没有水		tribes	
Norderaue	诺德劳	shipname	tribes	
Norderoog	诺德罗格	shipname	tribes	
Norderoogsand	诺德罗格沙滩	shipname	tribes	
Nordstrand	诺德斯特兰德	shipname	tribes	
Nordstrandischmoor	诺德斯特兰德伊斯穆尔	shipname	tribes	
Oak	橡树		world	
Oak (Mature)	橡树(成材的)		world	
Oak (Old)	橡树(老树)		world	
Oak (Pole)	橡树(树干)		world	
Oak (Sapling)	橡树(树苗)		world	
Observation Tower	瞭望台	amazons_building	tribes	
Obsidian	黑曜石	shipname	tribes	
Octavianus	屋大维	shipname	tribes	
Odin	奥丁	shipname	tribes	
Oil Palm	油棕榈树		world	
Oil Palm (Mature)	油棕榈树(成材的)		world	
Oil Palm (Old)	油棕榈树(老树)		world	
Oil Palm (Pole)	油棕榈树(树干)		world	
Oil Palm (Sapling)	油棕榈树(树苗)		world	
Oland	厄兰岛	shipname	tribes	
Old Fur Garment	旧皮衣	ware	tribes	
Onyx	玛瑙	shipname	tribes	
Opol	奥波尔	shipname	tribes	
Orchila	奥契拉岛	shipname	tribes	
Orinoco	奥里诺科河	shipname	tribes	
Ostur	奥斯特	shipname	tribes	
Otho	奥托	shipname	tribes	
Out of Berries	没有浆果资源了		tribes	
Out of Clay Ponds	粘土池塘范围之外		tribes	
Out of Fields	场地之外		tribes	
Out of Fish	没有鱼类资源了		tribes	
Out of Fish Ponds	鱼塘范围之外		tribes	
Out of Flowers	没有花朵资源了		tribes	
Out of Game and Fish	没有猎物和鱼了		tribes	
Out of Rocks	没有岩石资源了		tribes	
Out of Trees	没有树木资源了		tribes	
Out of Water	没有水资源了		tribes	
Outpost	前哨	empire_building	tribes	
Outpost	前哨	frisians_building	tribes	
Overview:	概览：		win_conditions	
Ox	牛	barbarians_worker	tribes	
Pachakuti	帕查库提号	shipname	tribes	
Pachamama	帕查玛玛号	shipname	tribes	
Paciá	帕西亚号	shipname	tribes	
Padauari	帕道阿里号	shipname	tribes	
Padded Protector	衬垫保护	ware	tribes	
Padded Vest	衬垫背心	ware	tribes	
Palm Trees	棕榈树		world	
Papagaio	帕帕盖奥号	shipname	tribes	
Papuri	帕普里号	shipname	tribes	
Paraconi	帕拉科尼号	shipname	tribes	
Parauari	帕拉瓦里号	shipname	tribes	
Pardo	帕尔多号	shipname	tribes	
Pati	帕蒂号	shipname	tribes	
Patrol Post	巡逻岗	amazons_building	tribes	
Pauini	帕乌伊尼号	shipname	tribes	
Pearl	珍珠	shipname	tribes	
Pebble	鹅卵石		world	
Pellworm	佩尔沃姆	shipname	tribes	
Pick	鹤嘴镐	ware	tribes	
Pig Breeder	猪倌	empire_worker	tribes	
Piggery	养猪场	empire_building	tribes	
Pinhuã	皮尼安号	shipname	tribes	
Piorini	皮奥里尼号	shipname	tribes	
Piratucu	皮拉图库号	shipname	tribes	
Pitinga	皮廷加号	shipname	tribes	
Pitta Bread	皮塔饼	barbarians_ware	tribes	
Planks	厚木板	ware	tribes	
planting balsa tree	种植轻木树		tribes	
planting barley	种植大麦		tribes	
planting blackroot	种植黑根		tribes	
planting bushes	种植灌木		tribes	
planting cassava	种植木薯		tribes	
planting cocoa	种植可可		tribes	
planting corn	种植玉米		tribes	
planting grapevines	种植葡萄藤		tribes	
planting ironwood tree	种植铁木树		tribes	
planting reed	种植芦苇		tribes	
planting rubber tree	种植橡胶树		tribes	
planting trees	植树		tribes	
planting wheat	种植小麦		tribes	
Plants	植物		world	
Player	玩家		corrections	避免漂移为"游戏者""选手"
Player overview:	游戏玩家概览：		win_conditions	
Pluto	冥王	shipname	tribes	
Points	得分		win_conditions	
Pond With Charcoal	木炭池	immovable	tribes	
Pond With Fish	有鱼的池塘	immovable	tribes	
Pond With Fish Spawn	有鱼卵的池塘	immovable	tribes	
Poor Hamlet	贫穷村寨		tribes	
Port	港口		corrections	五个部族一致
Port	港口	amazons_building	corrections	五个部族一致
Port	港口	atlanteans_building	corrections	五个部族一致
Port	港口	barbarians_building	corrections	五个部族一致
Port	港口	empire_building	corrections	五个部族一致
Port	港口	frisians_building	corrections	五个部族一致
Port Space	港口位置		corrections	可建港口的地块，"空间"不达意
Port spaces	港口位置		corrections	
Portus Bellus	贝卢斯港	shipname	tribes	
preparing a meal	做饭		tribes	
preparing a ration	预备定额口粮		tribes	
preparing a snack	做点心		tribes	
preparing only one ration	只准备一份定额口粮		tribes	
preparing rations	准备定额口粮		tribes	
Preto	普雷图号	shipname	tribes	
producing charcoal	生产木炭		tribes	
producing coal	产煤		tribes	
producing fur	生产毛皮	frisians_building	tribes	
Præda	战利品号	shipname	tribes	
Puduari	普杜阿里号	shipname	tribes	
Pureté	普雷特号	shipname	tribes	
Purus	普鲁斯号	shipname	tribes	
Puruê	普鲁埃号	shipname	tribes	
Putumayo	普图马约号	shipname	tribes	
Qhapaq Yupanki	卡帕克尤潘基号	shipname	tribes	
Quarry	采石场	atlanteans_building	tribes	
Quarry	采石场	barbarians_building	tribes	
Quarry	采石场	empire_building	tribes	
Quarry	采石场	frisians_building	tribes	
quarrying granite	采集花岗石		tribes	
quarrying marble	采集大理石		tribes	
Quartz	石英	ware	tribes	
Quchamama	库查玛玛号	shipname	tribes	
Quirinus	基里努斯	shipname	tribes	
Quixito	基希托号	shipname	tribes	
raising pigs	养猪		tribes	
Random	随机	climate	corrections	
Random	随机	terrain	corrections	
Random	随机	tribe	corrections	
Ranger	护林员	barbarians_worker	tribes	
Ranger’s Hut	护林员小屋	barbarians_building	tribes	
Rare Tree Cutter’s Hut	珍稀树种加工车间	amazons_building	tribes	
Rare Tree Plantation	珍稀树种种植园	amazons_building	tribes	
Raspberry Bush (medium)	树莓丛(半熟的)		tribes	
Raspberry Bush (ripe)	树莓丛(成熟的)		tribes	
Raspberry Bush (small)	树莓丛(小的)		tribes	
Raspberry Bush (tiny)	树莓丛(微小的)		tribes	
Ration	定额口粮	ware	tribes	
rearing cattle	养牛	barbarians_building	tribes	
rearing donkeys	喂驴	empire_building	tribes	
rearing reindeer	饲养驯鹿	frisians_building	tribes	
Recruit	新兵	atlanteans_worker	tribes	
Recruit	新兵	barbarians_worker	tribes	
Recruit	新兵	empire_worker	tribes	
recruiting soldier	征兵	amazons_building	tribes	
recruiting soldier	征兵	atlanteans_building	tribes	
recruiting soldier	征兵	barbarians_building	tribes	
recruiting soldier	征兵	empire_building	tribes	
recruiting soldier	征兵	frisians_building	tribes	
Recycling Center	再生中心	frisians_building	tribes	
recycling fur	回收毛皮	frisians_building	tribes	
recycling iron	回收铁	frisians_building	tribes	
recycling iron and gold	回收铁和黄金	frisians_building	tribes	
Red Currant (medium)	红加仑(半熟的)		tribes	
Red Currant (ripe)	红加仑(成熟的)		tribes	
Red Currant (small)	红加仑(小的)		tribes	
Red Currant (tiny)	红加仑(微小的)		tribes	
Red Fox	红狐	shipname	tribes	
Red Mushroom Tree	乌蒙红菇树		world	
Red Mushroom Tree (Mature)	乌蒙红菇树(成材的)		world	
Red Mushroom Tree (Old)	乌蒙红菇树(老树)		world	
Red Mushroom Tree (Pole)	乌蒙红菇树(树干)		world	
Red Mushroom Tree (Sapling)	乌蒙红菇树(树苗)		world	
Red Umbrella Tree	怀宁红木兰		world	
Red Umbrella Tree (Mature)	怀宁红木兰(成材的)		world	
Red Umbrella Tree (Old)	怀宁红木兰(老树)		world	
Red Umbrella Tree (Pole)	怀宁红木兰(树干)		world	
Red Umbrella Tree (Sapling)	怀宁红木兰(树苗)		world	
Reed	芦苇	ware	tribes	
Reed Farm	芦苇场	frisians_building	tribes	
Reed Farmer	芦苇种植农夫	frisians_worker	tribes	
Reed Field (medium)	芦苇田(中等的)	immovable	tribes	
Reed Field (ripe)	芦苇田(成熟的)	immovable	tribes	
Reed Field (small)	芦苇田(小的)	immovable	tribes	
Reed Field (tiny)	芦苇田(微小的)	immovable	tribes	
Reed Yard	芦苇苑	barbarians_building	tribes	
Reindeer	驯鹿		world	
Reindeer	驯鹿	frisians_worker	tribes	
Reindeer Breeder	驯鹿饲育员	frisians_worker	tribes	
Reindeer Farm	驯鹿场	frisians_building	tribes	
releasing game	放生猎物		tribes	
Remus	雷姆斯	shipname	tribes	
Replay	回放		corrections	主 UI 已有 13 处用"回放"，沿用；"录像"只是本项目一度引入
Rock Mine	岩石矿	frisians_building	tribes	
Rocks	岩石		world	
Rocks 1	岩石 1		world	
Rocks 2	岩石 2		world	
Rocks 3	岩石 3		world	
Rocks 4	岩石 4		world	
Rocks 5	岩石 5		world	
Rocks 6	岩石 6		world	
Romulus	罗米拉斯	shipname	tribes	
Rope	绳索	ware	tribes	
Rope Weaver Booth	绳索编织者摊位	amazons_building	tribes	
Rowan	红果花楸		world	
Rowan (Mature)	红果花楸(成材的)		world	
Rowan (Old)	红果花楸(老树)		world	
Rowan (Pole)	红果花楸(树干)		world	
Rowan (Sapling)	红果花楸(树苗)		world	
Roystonea regia Palm	大王椰		world	
Roystonea regia Palm (Mature)	大王椰(成材的)		world	
Roystonea regia Palm (Old)	大王椰(老树)		world	
Roystonea regia Palm (Pole)	大王椰(树干)		world	
Roystonea regia Palm (Sapling)	大王椰(树苗)		world	
Rubber	橡胶	ware	tribes	
Rubber Tree	橡胶树		tribes	
Rubber Tree (Mature)	橡胶树(成材的)		tribes	
Rubber Tree (Old)	橡胶树(老的)		tribes	
Rubber Tree (Pole)	橡胶树(树干)		tribes	
Rubber Tree (Sapling)	橡胶树(树苗)		tribes	
Ruin	遗址		world	
Sachamama	萨查玛玛号	shipname	tribes	
Sagitta	天箭号	shipname	tribes	
Saledus	塞勒杜斯	shipname	tribes	
Sapphire	蓝宝石	shipname	tribes	
Satul	萨图尔神	shipname	tribes	
Saturn	农神	shipname	tribes	
Saved Game	存档		corrections	游戏类型标签，不是"保存游戏"这个动作
Saw	锯	ware	tribes	
sawing logs	锯切原木		tribes	
Sawmill	锯木厂	atlanteans_building	tribes	
Sawmill	锯木厂	empire_building	tribes	
Sawyer	锯木工	atlanteans_worker	tribes	
Saxnot	萨克斯诺特	shipname	tribes	
Scipio	西庇阿号	shipname	tribes	
Scout	侦察兵	amazons_worker	tribes	
Scout	侦察兵	atlanteans_worker	tribes	
Scout	侦察兵	barbarians_worker	tribes	
Scout	侦察兵	empire_worker	tribes	
Scout	侦察兵	frisians_worker	tribes	
scouting	侦察		tribes	
Scout’s House	侦察兵之家	atlanteans_building	tribes	
Scout’s House	侦察兵之家	empire_building	tribes	
Scout’s House	侦察兵之家	frisians_building	tribes	
Scout’s Hut	侦察兵小屋	amazons_building	tribes	
Scout’s Hut	侦察兵小屋	barbarians_building	tribes	
Scrap Iron	废铁	ware	tribes	
sculpting a marble column	雕刻大理石柱		tribes	
Scythe	镰刀	ware	tribes	
Sea Buckthorn (medium)	沙棘果(半熟的)		tribes	
Sea Buckthorn (ripe)	沙棘果(成熟的)		tribes	
Sea Buckthorn (small)	沙棘果(小的)		tribes	
Sea Buckthorn (tiny)	沙棘果(微小的)		tribes	
Seamstress	女裁缝	frisians_worker	tribes	
Seashell	贝壳		world	
Seneca	塞内卡号	shipname	tribes	
